Hole_ID,X,Y,RL_AHD,Depth
RKC100,533600,7474400,417.1,25
RKC101,533400,7473600,421,24
RKC102,533500,7473600,423.3,31
RKC103,533600,7473600,423.5,37
RKC104,533700,7473600,424.1,37
RKC105,533800,7473600,422.4,37
RKC106,533900,7473600,420.3,37
RKC107,534000,7473600,422.4,37
RKC108,534100,7473600,422.7,37
RKC109,534200,7473600,423.4,37
RKC110,534300,7473600,423.7,37
RKC111,534200,7474000,421.5,25
RKC112,534100,7474000,421.5,26
RKC113,534000,7474000,421,37
RKC114,533900,7474000,420.4,37
RKC115,533800,7474000,419.2,37
RKC116,526500,7479240,395.5,31
RKC117,526400,7479188,398.2,25
RKC118,526300,7479200,399.7,31
RKC119,526200,7479200,399.1,31
RKC120,526000,7479200,397.9,19
RKC121,526100,7479200,400,25
RKC122,526200,7478450,397.7,22
RKC123,526200,7478500,400,26
RKC124,526200,7478600,400,31
RKC125,526200,7478700,400,31
RKC126,526200,7478800,400,25
RKC127,526200,7478900,400,25
RKC128,526320,7479000,400,25
RKC129,526200,7479100,398.6,22
RKC130,525900,7479200,396.7,18
RKC131,538200,7472700,435.4,25
RKC132,538200,7472600,435.4,43
RKC133,538200,7472500,436.9,40
RKC134,538200,7472400,435.8,37
RKC135,538200,7472300,435,37
RKC136,538200,7472200,434,41
RKC137,538200,7472100,435,43
RKC138,538200,7472000,434,37
RKC139,538200,7471900,432.6,25
RKC140,538200,7471800,430.5,31
RKC141,537400,7472000,434.4,43
RKC142,537400,7472100,435.3,43
RKC143,537400,7472200,437.1,37
RKC144,537400,7472300,436.9,37
RKC145,537400,7472400,436.5,33
RKC146,548105.1,7476797.4,467.3,43
RKC147,547996.2,7476798.1,468.8,55
RKC148,547899.9,7476801.7,469.7,53
RKC149,547806.6,7476802.7,469,37
RKC150,547700.3,7476797.3,467.2,31
RKC151,547600.9,7476800.4,464.6,31
RKC152,547494,7476799.3,462.3,25
RKC153,547398.5,7476397,459.6,19
RKC154,547495.8,7476399.7,460,25
RKC155,547597.9,7476406.2,460.3,31
RKC156,547692.8,7476402.9,460.8,27
RKC157,547698.8,7476000.9,465.3,61
RKC158,547599.4,7476005.2,463.7,67
RKC159,547499.2,7476004.1,461.9,54
RKC160,547395.9,7476000.8,460.8,37
RKC161,547400.2,7475605.7,464.8,55
RKC162,547299.5,7475597.7,466,53
RKC163,547199.7,7475599,464.8,31
RKC164,547193.8,7475201.1,461,37
RKC165,546899.6,7474800,453.7,25
RKC166,545597.5,7473998.2,455,25
RKC167,547298.9,7476002.1,460.6,25
RKC168,547195.9,7475997.5,460.2,25
RKC169,547801.1,7476001.8,465.1,55
RKC170,547900.5,7476001.8,462.7,61
RKC171,547999.4,7475999.6,464,55
RKC172,548101.2,7475994.7,461.7,61
RKC173,548200.9,7475998,458.8,49
RKC174,548303.4,7476001.5,458.7,37
RKC175,548399,7476000.9,458.8,19
RKC176,547499.8,7475598.5,461.6,49
RKC177,547597,7475597.6,459.7,49
RKC178,547697.2,7475598,458.8,49
RKC179,547800.2,7475597.7,458.5,53
RKC180,547896.5,7475598.3,457,49
RKC181,548001.4,7475604.6,455.7,47
RKC182,548100.7,7475602,458.3,49
RKC183,548197.2,7475596.7,458.7,49
RKC184,548296.9,7475600,459.3,51
RKC185,548496.9,7475596.9,460.1,31
RKC186,548599.5,7475600.5,460.8,31
RKC187,548411,7475599.6,459.5,49
RKC188,547501.5,7474802,452.5,37
RKC189,547696.2,7474796.5,454.7,37
RKC190,547883,7474789.7,454.8,49
RKC191,548099,7474800.2,456.3,49
RKC192,548296.9,7474799.5,457,67
RKC193,548378,7474809.7,457.1,65
RKC194,547582.1,7474829.4,452.4,37
RKC195,547604.3,7473999.9,449,43
RKC196,547698.6,7474000.4,451.3,45
RKC197,547897.6,7474003.7,452.6,46
RKC198,548104.8,7473998.4,453.6,46
RKC199,548203.2,7473999,452.1,49
RKC200,547485.4,7474000.7,453,47
RKC201,547397.9,7474000.5,453.7,37
RKC202,547203.2,7474001.9,453.3,43
RKC203,546998.4,7474003.4,452.3,31
RKC204,545400.2,7473005.2,441.9,19
RKC205,545401.6,7473100.2,442.3,25
RKC206,544993.3,7473002.8,440.2,19
RKC207,545901.2,7473995,444.9,43
RKC208,545398.1,7473600.9,447.5,31
RKC209,545400.7,7473501.4,448.6,19
RKC210,545403.3,7473403.3,443.8,31
RKC211,545398.8,7473306.1,442,43
RKC212,544991,7473306.4,444.9,31
RKC213,545004.7,7473396.5,447.8,37
RKC214,545001.7,7473497.5,447,25
RKC215,544998.3,7473602.8,444.1,31
RKC216,545714.7,7473997.1,448.7,25
RKC217,545803.1,7473999,445.8,43
RKC218,546002.9,7473998.9,448.1,49
RKC219,544996.3,7473196,443.3,43
RKC220,545001.1,7473095.2,443.3,43
RKC221,545399.6,7473187.2,440.6,35
RKC222,543800,7472800,448.3,43
RKC223,543800,7472700,447.4,43
RKC224,543800,7472500,446.7,31
RKC225,543400,7472700,450.8,31
RKC226,543400,7472600,450.2,17
RKC227,543400,7472200,446.8,25
RKC228,541400,7473100,447,43
RKC229,541400,7472900,448.6,20
RKC230,541400,7472700,450,19
RKC231,541400,7472500,447.2,13
RKC232,541400,7472300,446.7,25
RKC233,541400,7473200,447.8,31
RKC234,541400,7473300,447.4,19
RKC235,532800,7478800,404.2,19
RKC236,532900,7478800,407,25
RKC237,533090,7478780,410,25
RKC238,533300,7478800,410,25
RKC239,533500,7478800,410,31
RKC240,532820,7479205,410,37
RKC241,533000,7479237,418.2,31
RKC242,533200,7479200,417,25
RKC243,525400,7478400,385.9,7
RKC244,526600,7478700,394,19
RKC245,526600,7478800,396.9,16
RKC246,526485,7478975,400,17
RKC247,527000,7478700,390,13
RKC248,527000,7478800,390,13
RKC249,527000,7478900,393,13
RKC250,527000,7479000,395,19
RKC251,527000,7479100,396,13
RKC252,527040,7479200,398,13
RKC253,527040,7479300,399,19
RKC254,537800,7471800,433.4,31
RKC255,535800,7472000,433.8,43
RKC256,535800,7472100,434.3,43
RKC257,535800,7472200,435,43
RKC258,535800,7472300,435.2,43
RKC259,535800,7472400,436.4,21
RKC260,535800,7471900,434.5,25
RKC261,535400,7472000,435,25
RKC262,535400,7472100,436.2,25
RKC263,535400,7472200,436.9,47
RKC264,536200,7472000,432.6,37
RKC265,536200,7472100,431.6,43
RKC266,536200,7472200,433.7,43
RKC267,536200,7472300,435.6,25
RKC268,536200,7471900,432.4,37
RKC269,536200,7471800,431.3,37
RKC270,536600,7472000,432.9,31
RKC271,537000,7472000,435.8,31
RKC272,538600,7472400,434.4,31
RKC273,538600,7472500,433.9,37
RKC274,538600,7472600,432.5,37
RKC275,538600,7472700,431.8,37
RKC276,538600,7472800,433.7,37
RKC277,538600,7472900,433.3,31
RKC278,548001.3,7474002.1,453.5,47
RKC279,547804.6,7474004.5,453.4,46
RKC280,547310.8,7474002.2,453.8,51
RKC281,547100.8,7474003.4,453.4,37
RKC282,547199,7474801.2,456,7
RKC283,548195.9,7474807.1,456.6,55
RKC284,547998.8,7474800,455.7,49
RKC285,547806.2,7474801.2,455.8,43
RKC286,548298.4,7475200.9,458.4,61
